1	1	2	60	1	0	0
2	2	3	60	1	0	0
3	3	4	60	1	0	0
4	4	5	60	1	0	0
5	5	6	60	1	0	0
6	6	7	60	1	0	0
7	7	8	60	1	0	0
8	8	9	60	1	0	0
9	9	10	60	1	0	0
10	10	11	60	1	0	0
11	11	12	60	1	0	0
12	12	13	60	1	0	0
13	13	14	60	1	0	0
14	14	15	60	1	0	0
15	15	16	60	1	0	0
16	16	17	60	1	0	0
17	17	18	60	1	0	0
18	18	19	60	1	0	0
19	19	20	60	1	0	0
20	20	21	60	1	0	0
21	21	22	60	1	0	0
22	22	23	60	1	0	0
23	23	24	60	1	0	0
24	24	25	60	1	0	0
25	2	26	6	0	0	0
26	3	27	6	0	0	0
27	4	28	6	0	0	0
28	5	29	6	0	0	0
29	6	30	6	0	0	0
30	7	31	6	0	0	0
31	8	32	6	0	0	0
32	9	33	6	0	0	0
33	10	34	6	0	0	0
34	11	35	6	0	0	0
35	12	36	6	0	0	0
36	13	37	6	0	0	0
37	14	38	6	0	0	0
38	15	39	6	0	0	0
39	16	60	6	0	0	0
60	17	41	6	0	0	0
41	18	42	6	0	0	0
42	19	43	6	0	0	0
43	20	44	6	0	0	0
44	21	45	6	0	0	0
45	22	46	6	0	0	0
46	23	47	6	0	0	0
47	24	48	6	0	0	0
48	1	26	0	0	0	0
49	26	27	0	0	0	0
50	27	28	0	0	0	0
51	28	29	0	0	0	0
52	29	30	0	0	0	0
53	30	31	0	0	0	0
54	31	32	0	0	0	0
55	32	33	0	0	0	0
56	33	34	0	0	0	0
57	34	35	0	0	0	0
58	35	36	0	0	0	0
59	36	37	0	0	0	0
60	37	38	0	0	0	0
61	38	39	0	0	0	0
62	39	60	0	0	0	0
63	60	41	0	0	0	0
64	41	42	0	0	0	0
65	42	43	0	0	0	0
66	43	44	0	0	0	0
67	44	45	0	0	0	0
68	45	46	0	0	0	0
69	46	47	0	0	0	0
70	47	48	0	0	0	0
71	48	25	0	0	0	0
